date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot
10/21/2003,11.1488,445,0.0625,0.0092,5.72,#N/A N/A,1.12,4.342,16.55,30.18,1.1667
10/22/2003,11.2443,435,0.1457,0.0045,5.9,#N/A N/A,1.12,4.2513,17.67,29.92,1.1804
10/23/2003,11.167,437.5,0.112,0.01,5.8,#N/A N/A,1.12,4.3163,17.68,30.3,1.1791
10/24/2003,11.1548,412.5,0.064,0.0135,5.68,#N/A N/A,1.12,4.2297,17.71,30.16,1.1781
10/27/2003,11.096,362.5,0.0695,0.0157,5.5,#N/A N/A,1.12,4.2592,18.05,29.92,1.1744
10/28/2003,11.0595,330,0.0554,0.007,5.335,#N/A N/A,1.12,4.1768,16.82,29.56,1.1669
10/29/2003,11.091,320,0.1202,0.012,5.35,#N/A N/A,1.12,4.2946,16.43,28.91,1.1662
10/30/2003,11.0425,332.5,0.0793,0.011,5.25,#N/A N/A,1.12,4.3422,16.33,28.47,1.1626
10/31/2003,11.0175,310,0.0575,0.019,5.1487,#N/A N/A,1.12,4.2927,16.1,29.11,1.1593
11/3/2003,10.985,307.5,0.0638,0.01,5.0013,#N/A N/A,1.12,4.3403,16.55,28.9,1.1457
11/4/2003,10.9963,317.5,0.067,0.0045,4.8563,#N/A N/A,1.12,4.2947,16.55,28.75,1.1493
11/5/2003,10.9775,315,0.0577,0.019,4.95,#N/A N/A,1.12,4.3522,16.86,30.3,1.1439
11/6/2003,10.9538,302.5,0.0505,0.0077,4.95,#N/A N/A,1.12,4.4081,16.74,30.26,1.1416
11/7/2003,10.9875,335,0.0955,0.005,4.875,#N/A N/A,1.12,4.4383,16.93,30.85,1.1525
11/10/2003,10.945,326.75,0.0901,0.0152,4.935,#N/A N/A,1.12,4.4464,17.62,30.88,1.1481
11/11/2003,10.9778,322.5,0.0418,0.0135,4.9442,#N/A N/A,1.12,4.4464,17.54,31.15,1.1523
11/12/2003,11.122,345,0.1778,0.006,5.05,#N/A N/A,1.12,4.3983,16.75,31.33,1.1633
11/13/2003,11.1485,347.5,0.108,0.0099,5.1699,#N/A N/A,1.12,4.269,16.47,31.9,1.1734
11/14/2003,11.1433,360,0.06,0.0285,5.2,#N/A N/A,1.12,4.2171,16.94,32.37,1.1779
11/17/2003,11.1575,365,0.0704,0.0121,5.48,#N/A N/A,1.12,4.194,18.6,31.73,1.1749
11/18/2003,11.2435,392.5,0.1137,0.009,5.38,#N/A N/A,1.12,4.1421,19.11,33.28,1.1973
11/19/2003,11.1855,385,0.0883,0.0111,5.4,#N/A N/A,1.12,4.2364,18.8,32.92,1.1878
11/20/2003,11.205,392,0.0675,0.006,5.4,#N/A N/A,1.11875,4.1516,19.48,32.86,1.1911
11/21/2003,11.233,412.5,0.0555,0.0202,5.6,#N/A N/A,1.11875,4.1592,18.98,31.61,1.1914
11/24/2003,11.2878,452.5,0.1523,0.0105,5.92,#N/A N/A,1.1175,4.2286,17.44,29.74,1.1771
11/25/2003,11.3114,480,0.1035,0.0082,6.15,#N/A N/A,1.11875,4.1841,16.71,29.77,1.1792
11/26/2003,11.352,525,0.0743,0.006,6.375,#N/A N/A,1.11875,4.2459,16.23,30.41,1.1941
11/27/2003,11.345,512.5,0.0495,0.0452,6.35,#N/A N/A,1.17,4.2459,16.23,30.41,1.1908
11/28/2003,11.3785,515,0.1239,0.009,6.54,#N/A N/A,1.17,4.3316,16.32,30.41,1.1995
12/1/2003,11.3735,560,0.0675,0.007,6.74,#N/A N/A,1.17,4.3846,16.77,29.95,1.1978
12/2/2003,11.3025,522.5,0.0902,0.0086,6.6548,#N/A N/A,1.17,4.3787,16.27,30.78,1.2081
12/3/2003,11.2613,492.5,0.1062,0.005,6.525,#N/A N/A,1.17,4.4023,16.63,31.1,1.2111
12/4/2003,11.2185,492.5,0.0882,0.007,6.35,#N/A N/A,1.17,4.365,16.3,31.26,1.2085
12/5/2003,11.2075,472.5,0.0665,0.005,6.23,#N/A N/A,1.17,4.2303,17.09,30.73,1.2171
12/8/2003,11.2295,497.5,0.065,0.015,6.25,#N/A N/A,1.17,4.2672,16.54,32.1,1.222
12/9/2003,11.1779,463.75,0.1005,0.009,6.1,#N/A N/A,1.16875,4.3513,17.63,31.76,1.2254
12/10/2003,11.235,462.5,0.081,0.0152,6.165,#N/A N/A,1.16875,4.316,17.87,31.88,1.2219
12/11/2003,11.1375,442,0.1215,0.005,6.04,#N/A N/A,1.1625,4.2302,16.73,31.85,1.2225
12/12/2003,11.2508,461,0.2028,0.0121,6.04,#N/A N/A,1.15438,4.2379,16.41,33.04,1.2276
12/15/2003,11.2895,522.5,0.1093,0.005,6.32,#N/A N/A,1.15,4.2574,17.23,33.18,1.2322
12/16/2003,11.2655,525,0.0968,0.007,6.35,#N/A N/A,1.15,4.2127,15.93,32.89,1.2329
12/17/2003,11.2453,507.5,0.0575,0.0246,6.59,#N/A N/A,1.15,4.1816,15.58,33.35,1.2412
12/18/2003,11.2425,502.5,0.069,0.007,6.495,#N/A N/A,1.14875,4.1256,16.16,33.71,1.2426
12/19/2003,11.2498,505,0.063,0.0077,6.45,#N/A N/A,1.14625,4.1332,16.42,33.02,1.2374
12/22/2003,11.2975,545,0.1091,0.015,6.5,#N/A N/A,1.14125,4.1679,16.94,31.87,1.2397
12/23/2003,11.275,505,0.0612,0.0152,6.49,#N/A N/A,1.14125,4.2593,16.49,31.95,1.2394
12/24/2003,11.2672,515,0.0252,0.0196,6.485,#N/A N/A,1.14,4.1834,16.66,32.86,1.2448
12/25/2003,11.2685,515,0.011,0.019,6.485,#N/A N/A,1.14,4.1833,16.66,32.86,1.2453
12/26/2003,11.2125,475,0.1678,0.1202,6.4287,#N/A N/A,1.14,4.1503,17.45,32.86,1.2429
12/29/2003,11.2425,466,0.0963,0.0402,6.36,#N/A N/A,1.13375,4.2417,17.09,32.4,1.2491
12/30/2003,11.2285,465,0.113,0.013,6.2889,#N/A N/A,1.12,4.2573,17.68,32.79,1.2551
12/31/2003,11.2285,478,0.0424,0.015,6.25,#N/A N/A,1.12,4.2455,18.31,32.52,1.2595
1/1/2004,11.218,478,0.012,0.012,6.25,#N/A N/A,1.12,4.2455,18.31,32.52,1.2547
1/2/2004,11.082,460,0.2427,0.02,6.1449,#N/A N/A,1.12,4.3794,18.22,32.52,1.2585
1/5/2004,11.0045,465,0.1465,0.005,5.93,#N/A N/A,1.12,4.3774,17.49,33.78,1.2675
1/6/2004,10.9217,435,0.0985,0.009,5.77,#N/A N/A,1.12,4.271,16.73,33.7,1.2728
1/7/2004,10.8935,392.5,0.0713,0.013,5.615,#N/A N/A,1.11,4.2416,15.5,33.62,1.2631
1/8/2004,10.8667,377.5,0.0522,0.0106,5.37,#N/A N/A,1.11,4.2553,15.61,33.98,1.2766
1/9/2004,10.8178,355,0.0728,0.0097,5.35,#N/A N/A,1.11,4.0803,16.75,34.31,1.2818
1/12/2004,10.8235,385,0.055,0.005,5.18,#N/A N/A,1.1,4.0861,16.82,34.72,1.2749
1/13/2004,10.86,392.5,0.1058,0.006,5.25,#N/A N/A,1.1,4.011,18.04,34.43,1.2774
1/14/2004,10.8443,377.5,0.1075,0.015,5.205,#N/A N/A,1.1,3.9937,16.75,34.5,1.2647
1/15/2004,10.8508,365,0.0655,0.0145,5.17,#N/A N/A,1.1,3.9688,15.56,33.44,1.2579
1/16/2004,10.825,360,0.089,0.006,5.085,#N/A N/A,1.1,4.0299,15,35.07,1.2394
1/19/2004,10.8073,357.5,0.0738,0.0465,5.1,#N/A N/A,1.1,4.0298,15,35.07,1.235
1/20/2004,10.8871,345,0.0817,0.0061,5.03,#N/A N/A,1.1,4.0548,15.21,36.2,1.2581
1/21/2004,10.9895,327.5,0.1208,0.007,5.175,#N/A N/A,1.1,4.0182,14.34,34.58,1.2644
1/22/2004,11.0726,350,0.112,0.0049,5.25,#N/A N/A,1.1,3.953,14.71,34.93,1.2719
1/23/2004,10.8938,330,0.239,0,5.16,#N/A N/A,1.1,4.072,14.84,34.94,1.2581
1/26/2004,10.91,322.5,0.1118,0.01,5.12,#N/A N/A,1.1,4.1301,14.55,34.47,1.2462
1/27/2004,10.9375,315,0.073,0.0202,4.97,#N/A N/A,1.1,4.0738,15.35,34.12,1.2646
1/28/2004,11.001,317.5,0.1193,0.009,5.09,#N/A N/A,1.1,4.1885,16.78,33.62,1.247
1/29/2004,11.1173,352.5,0.2565,0.0097,5.28,#N/A N/A,1.1,4.1729,17.14,32.81,1.2411
1/30/2004,11.0614,335,0.149,0.0327,5.15,#N/A N/A,1.1,4.1319,16.63,33.05,1.2478
2/2/2004,11.0205,322.5,0.1903,0.015,5.07,#N/A N/A,1.1,4.1455,17.11,34.98,1.2424
2/3/2004,11.119,355,0.1613,0.006,5.22,#N/A N/A,1.1,4.0968,17.34,34.1,1.2544
2/4/2004,11.1797,362.5,0.1618,0.0146,5.18,#N/A N/A,1.09875,4.1123,17.87,33.1,1.2535
2/5/2004,11.176,377,0.1693,0.002,5.18,#N/A N/A,1.09875,4.1669,17.71,33.08,1.2549
2/6/2004,11.1125,360,0.1445,0.004,5.35,#N/A N/A,1.1,4.0772,16,32.48,1.2706
2/9/2004,11.1175,371.25,0.0925,0.0091,5.435,#N/A N/A,1.1,4.052,16.39,32.83,1.2701
2/10/2004,11.1185,395,0.0733,0.0121,5.745,#N/A N/A,1.09875,4.1121,15.94,33.87,1.2671
2/11/2004,10.9758,405,0.1475,0.0105,5.725,#N/A N/A,1.09875,4.0306,15.39,34,1.2832
2/12/2004,10.96,385,0.048,0.01,5.6799,#N/A N/A,1.09438,4.0441,15.31,33.98,1.2811
2/13/2004,10.935,375,0.0632,0.0152,5.6537,#N/A N/A,1.09375,4.0402,15.58,34.56,1.2734
2/16/2004,10.9408,377.5,0.0574,0.0156,5.6599,#N/A N/A,1.09375,4.0402,15.58,34.56,1.2771
2/17/2004,10.9027,397.5,0.0598,0.0086,5.905,#N/A N/A,1.09125,4.0383,15.4,35.19,1.2842
2/18/2004,10.984,420,0.1017,0.005,5.95,#N/A N/A,1.09125,4.0479,15.59,35.45,1.2689
2/19/2004,10.9505,400.5,0.0728,0.009,5.95,#N/A N/A,1.09125,4.0306,15.8,36,1.2717
2/20/2004,10.9432,410,0.1089,0.0087,6.2,#N/A N/A,1.09,4.0961,16.04,35.6,1.2537
2/23/2004,11.0475,445.5,0.1737,0.01,6.35,#N/A N/A,1.09,4.0363,16.29,34.35,1.2556
2/24/2004,11.0815,457.5,0.1115,0.0162,6.39,#N/A N/A,1.09,4.0229,15.9,34.58,1.2685
2/25/2004,11.0565,545,0.0835,0.007,6.745,#N/A N/A,1.09,4.0075,14.93,35.68,1.2501
2/26/2004,11.06,492.5,0.0342,0.0099,6.6799,#N/A N/A,1.09625,4.0344,14.83,35.51,1.244
2/27/2004,11.065,487.5,0.0527,0.006,6.65,#N/A N/A,1.0975,3.9711,14.55,36.16,1.2493
3/1/2004,10.9665,520,0.1097,0.003,6.65,#N/A N/A,1.1,3.973,14.44,36.86,1.2457
3/2/2004,10.9635,495,0.0482,0.0076,6.52,#N/A N/A,1.1,4.0421,14.86,36.66,1.2215
3/3/2004,11.0588,485,0.1435,0.0075,6.655,#N/A N/A,1.1,4.0498,14.55,35.8,1.2206
3/4/2004,10.947,532.5,0.139,0.006,6.58,#N/A N/A,1.1,4.0151,14.4,36.64,1.2203
3/5/2004,10.9253,492.5,0.0812,0.0045,6.41,#N/A N/A,1.1,3.8491,14.48,37.26,1.2366
3/8/2004,10.965,472.5,0.0872,0.006,6.25,#N/A N/A,1.0925,3.768,15.79,36.57,1.2407
3/9/2004,10.954,450,0.048,0.003,6.2,#N/A N/A,1.09,3.7211,16.6,36.28,1.2326
3/10/2004,10.9848,442.5,0.0815,0.0315,6.295,#N/A N/A,1.09,3.7285,18.67,36.1,1.2225
3/11/2004,11.029,447.5,0.1012,0.009,6.27,#N/A N/A,1.09,3.6985,20.67,36.78,1.2355
3/12/2004,10.957,475,0.0848,0.016,6.55,#N/A N/A,1.09,3.777,18.3,36.19,1.2215
3/15/2004,11.0118,527.5,0.0958,0.0035,6.79,#N/A N/A,1.09,3.7619,21.13,37.44,1.2265
3/16/2004,11.0365,512.5,0.0885,0.017,6.77,#N/A N/A,1.09,3.6794,20.34,37.48,1.2272
3/17/2004,10.9653,487.5,0.0882,0.0081,6.6736,#N/A N/A,1.09,3.7111,18.11,38.18,1.2237
3/18/2004,10.9758,497.5,0.0767,0.0085,6.65,#N/A N/A,1.09,3.7542,18.53,37.93,1.239
3/19/2004,10.9675,482.5,0.0505,0.005,6.665,#N/A N/A,1.09,3.771,19.15,38.08,1.229
3/22/2004,10.9815,515,0.0732,0.005,6.58,#N/A N/A,1.09,3.7126,21.58,37.11,1.2331
3/23/2004,10.98,490,0.034,0.006,6.45,#N/A N/A,1.09,3.6901,20.67,37.45,1.2339
3/24/2004,11.036,480.25,0.077,0.004,6.495,#N/A N/A,1.09,3.7069,19.81,37.01,1.2135
