date,amount,direction,type,sell_amount
7/10/2009,0,sell USD,min price,
7/10/2009,50,sell USD,no min price,50
7/13/2009,50,sell USD,no min price,50
7/13/2009,0,sell USD,min price,
7/14/2009,0,sell USD,min price,
7/14/2009,50,sell USD,no min price,50
7/15/2009,0,sell USD,min price,
7/15/2009,50,sell USD,no min price,50
7/16/2009,50,sell USD,no min price,50
7/16/2009,0,sell USD,min price,
7/17/2009,0,sell USD,min price,
7/17/2009,50,sell USD,no min price,50
7/20/2009,0,sell USD,min price,
7/20/2009,50,sell USD,no min price,50
7/21/2009,0,sell USD,min price,
7/21/2009,50,sell USD,no min price,50
7/22/2009,50,sell USD,no min price,50
7/22/2009,0,sell USD,min price,
7/23/2009,50,sell USD,no min price,50
7/23/2009,0,sell USD,min price,
7/24/2009,50,sell USD,no min price,50
7/24/2009,0,sell USD,min price,
7/27/2009,50,sell USD,no min price,50
7/27/2009,0,sell USD,min price,
7/28/2009,50,sell USD,no min price,50
7/28/2009,0,sell USD,min price,
7/29/2009,0,sell USD,min price,
7/29/2009,50,sell USD,no min price,50
7/30/2009,50,sell USD,no min price,50
7/30/2009,0,sell USD,min price,
7/31/2009,0,sell USD,min price,
7/31/2009,50,sell USD,no min price,50
8/3/2009,50,sell USD,no min price,50
8/3/2009,0,sell USD,min price,
8/4/2009,0,sell USD,min price,
8/4/2009,50,sell USD,no min price,50
8/5/2009,0,sell USD,min price,
8/5/2009,50,sell USD,no min price,50
8/6/2009,0,sell USD,min price,
8/6/2009,50,sell USD,no min price,50
8/7/2009,0,sell USD,min price,
8/7/2009,50,sell USD,no min price,50
8/10/2009,0,sell USD,min price,
8/10/2009,50,sell USD,no min price,50
8/11/2009,0,sell USD,min price,
8/11/2009,50,sell USD,no min price,50
8/12/2009,0,sell USD,min price,
8/12/2009,50,sell USD,no min price,50
8/13/2009,0,sell USD,min price,
8/13/2009,50,sell USD,no min price,50
8/14/2009,0,sell USD,min price,
8/14/2009,50,sell USD,no min price,50
8/17/2009,0,sell USD,min price,
8/17/2009,50,sell USD,no min price,50
8/18/2009,0,sell USD,min price,
8/18/2009,50,sell USD,no min price,50
8/19/2009,0,sell USD,min price,
8/19/2009,50,sell USD,no min price,50
8/20/2009,0,sell USD,min price,
8/20/2009,50,sell USD,no min price,50
8/21/2009,0,sell USD,min price,
8/21/2009,50,sell USD,no min price,50
8/24/2009,0,sell USD,min price,
8/24/2009,50,sell USD,no min price,50
8/25/2009,50,sell USD,no min price,50
8/25/2009,0,sell USD,min price,
8/26/2009,50,sell USD,no min price,50
8/26/2009,250,sell USD,min price,250
8/27/2009,50,sell USD,no min price,50
8/27/2009,0,sell USD,min price,
8/28/2009,50,sell USD,no min price,50
8/28/2009,0,sell USD,min price,
8/31/2009,50,sell USD,no min price,50
8/31/2009,0,sell USD,min price,
9/1/2009,250,sell USD,min price,250
9/1/2009,50,sell USD,no min price,50
9/2/2009,50,sell USD,no min price,50
9/2/2009,0,sell USD,min price,
9/3/2009,50,sell USD,no min price,50
9/3/2009,0,sell USD,min price,
9/4/2009,50,sell USD,no min price,50
9/4/2009,0,sell USD,min price,
9/7/2009,50,sell USD,no min price,50
