date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot,amount,direction,type,sell_amount,FX level,FX log returns,Bid ask abs,Min max abs,Forward points first difference,Interbank rate vs Libor,VIX first diff,EURUSD log returns,Oil prices log returns,FX intervention in USD,fx_intervention_minprice,fx_intervention_nominprice,FX intervention dummy,FX intervention dummy lag,Intercept,FX log returns_fwd
1990-06-19,2.846,,0.0,0.0,,,8.3125,8.503,15.23,15.65,,,,,,2.846,0.0,0.0,0.0,,,-2.4800000000000004,,-183.60756375906652,0.0,,,0,0.0,1,14.044946128986236
1990-06-20,2.85,,0.0,0.0,,,8.3125,8.536,15.27,15.3,,,,,,2.85,14.044946128986236,0.0,0.0,,,0.03999999999999915,,-226.18088587772402,0.0,,,0,0.0,1,0.0
1990-06-21,2.85,,0.0,0.0,,,8.375,8.513,14.72,16.94,,,,,,2.85,0.0,0.0,0.0,,,-0.5499999999999989,,1018.2486082551861,0.0,,,0,0.0,1,0.0
1990-06-22,2.85,,0.0,0.0,,,8.375,8.498,19.36,17.46,,,,,,2.85,0.0,0.0,0.0,,,4.639999999999999,,302.3486118754774,0.0,,,0,0.0,1,7.015082714903033
1990-06-25,2.852,,0.0,0.0,,,8.3125,8.585,17.06,17.38,,,,,,2.852,7.015082714903033,0.0,0.0,,,-2.3000000000000007,,-45.92430574210262,0.0,,,0,0.0,1,-7.0150827149024835
1990-06-26,2.85,,0.0,0.0,,,8.375,8.533,16.29,17.14,,,,,,2.85,-7.0150827149024835,0.0,0.0,,,-0.7699999999999996,,-139.05206667612148,0.0,,,0,0.0,1,0.0
1990-06-27,2.85,,0.0,0.0,,,8.375,8.498,16.0,16.68,,,,,,2.85,0.0,0.0,0.0,,,-0.28999999999999915,,-272.0451623903312,0.0,,,0,0.0,1,0.0
1990-06-28,2.85,,0.0,0.0,,,8.375,8.449,16.18,17.15,,,,,,2.85,0.0,0.0,0.0,,,0.17999999999999972,,277.8777668134805,0.0,,,0,0.0,1,-3.5093876478789534
1990-06-29,2.849,,0.0,0.0,,,8.375,8.412,15.5,17.07,,,,,,2.849,-3.5093876478789534,0.0,0.0,,,-0.6799999999999997,,-46.7563680559959,0.0,,,0,0.0,1,0.0
1990-07-02,2.849,,0.0,0.0,,,8.25,8.409,16.26,16.72,,,,,,2.849,0.0,0.0,0.0,,,0.7600000000000016,,-207.16929149793756,0.0,,,0,0.0,1,35.038578244035236
1990-07-03,2.859,,0.0,0.0,,,8.3125,8.393,16.11,16.8,,,,,,2.859,35.038578244035236,0.0,0.0,,,-0.15000000000000213,,47.732787526578115,0.0,,,0,0.0,1,0.0
1990-07-04,2.859,,0.0,0.0,,,8.3125,8.383,16.11,16.8,,,,,,2.859,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0,0.0,1,-19.60647641597708
1990-07-05,2.8534,,0.0056,0.0,,,8.3125,8.4,17.25,16.5,,,,,,2.8534,-19.60647641597708,0.0,0.0056,,,1.1400000000000006,,-180.18505502678366,0.0,,,0,0.0,1,19.6064764159775
1990-07-06,2.859,,0.0,0.0,,,8.375,8.513,16.41,16.47,,,,,,2.859,19.6064764159775,0.0,0.0,,,-0.8399999999999999,,-18.19836716986094,0.0,,,0,0.0,1,0.0
1990-07-09,2.859,,0.0,0.0,,,8.375,8.558,16.66,16.58,,,,,,2.859,0.0,0.0,0.0,,,0.25,,66.56605517599846,0.0,,,0,0.0,1,-10.498688628368148
1990-07-10,2.856,,0.0,0.0,,,8.4375,8.572,16.92,16.94,,,,,,2.856,-10.498688628368148,0.0,0.0,,,0.26000000000000156,,214.8053951675954,0.0,,,0,0.0,1,0.0
1990-07-11,2.856,,0.0,0.0,,,8.375,8.569,16.68,17.47,,,,,,2.856,0.0,0.0,0.0,,,-0.240000000000002,,308.0743492205662,0.0,,,0,0.0,1,0.0
1990-07-12,2.856,,0.0,0.0,,,8.25,8.494,17.06,18.46,,,,,,2.856,0.0,0.0,0.0,,,0.379999999999999,,551.2110492874111,0.0,,,0,0.0,1,0.0
1990-07-13,2.856,,0.0,0.0,,,8.1875,8.436,17.09,18.36,,,,,,2.856,0.0,0.0,0.0,,,0.030000000000001137,,-54.31843882361729,0.0,,,0,0.0,1,41.928782600359575
1990-07-16,2.868,,0.012,0.0,,,8.1875,8.435,16.75,18.67,,,,,,2.868,41.928782600359575,0.0,0.012,,,-0.33999999999999986,,167.43572361286923,0.0,,,0,0.0,1,0.0
1990-07-17,2.868,,0.0,0.0,,,8.125,8.435,16.66,18.65,,,,,,2.868,0.0,0.0,0.0,,,-0.08999999999999986,,-10.718114638068334,0.0,,,0,0.0,1,0.0
1990-07-18,2.868,,0.0,0.0,,,8.125,8.501,18.9,18.55,,,,,,2.868,0.0,0.0,0.0,,,2.2399999999999984,,-53.763570363802934,0.0,,,0,0.0,1,0.0
1990-07-19,2.868,,0.0,0.0,,,8.125,8.491,18.56,18.99,,,,,,2.868,0.0,0.0,0.0,,,-0.33999999999999986,,234.42735770750198,0.0,,,0,0.0,1,0.0
1990-07-20,2.868,,0.0,0.0,,,8.125,8.47,15.63,19.61,,,,,,2.868,0.0,0.0,0.0,,,-2.929999999999998,,321.27115384060534,0.0,,,0,0.0,1,10.454784015529656
1990-07-23,2.871,,0.0,0.0,,,8.125,8.491,23.68,20.5,,,,,,2.871,10.454784015529656,0.0,0.0,,,8.049999999999999,,443.85245936107634,0.0,,,0,0.0,1,-3.4837136739711347
1990-07-24,2.87,,0.0,0.0,,,8.125,8.533,21.79,20.56,,,,,,2.87,-3.4837136739711347,0.0,0.0,,,-1.8900000000000006,,29.225544426018665,0.0,,,0,0.0,1,0.0
1990-07-25,2.87,,0.0,0.0,,,8.125,8.479,20.19,20.38,,,,,,2.87,0.0,0.0,0.0,,,-1.5999999999999979,,-87.93412792385573,0.0,,,0,0.0,1,0.0
1990-07-26,2.87,,0.0,0.0,,,8.125,8.483,20.26,20.3,,,,,,2.87,0.0,0.0,0.0,,,0.07000000000000028,,-39.3314174683698,0.0,,,0,0.0,1,0.0
1990-07-27,2.87,,0.0,0.0,,,8.125,8.416,21.12,20.04,,,,,,2.87,0.0,0.0,0.0,,,0.8599999999999994,,-128.90609831077674,0.0,,,0,0.0,1,3.4837136739722476
1990-07-30,2.871,,0.0,0.0,,,8.0,8.344,21.16,20.21,,,,,,2.871,3.4837136739722476,0.0,0.0,,,0.03999999999999915,,84.4725519886565,0.0,,,0,0.0,1,-20.92050972223952
1990-07-31,2.865,,0.0,0.0,,,8.0,8.341,21.11,20.69,,,,,,2.865,-20.92050972223952,0.0,0.0,,,-0.05000000000000071,,234.7296034192214,0.0,,,0,0.0,1,0.0
1990-08-01,2.865,,0.0,0.0,,,8.0,8.276,21.64,21.54,,,,,,2.865,0.0,0.0,0.0,,,0.5300000000000011,,402.61179970790755,0.0,,,0,0.0,1,0.0
1990-08-02,2.865,,0.0,0.0,,,8.0,8.376,20.43,23.11,,,,,,2.865,0.0,0.0,0.0,,,-1.2100000000000009,,703.5375255804694,0.0,,,0,0.0,1,31.364374901303115
1990-08-03,2.874,,0.0,0.0,,,8.125,8.443,28.74,24.49,,,,,,2.874,31.364374901303115,0.0,0.0,,,8.309999999999999,,579.9944667778693,0.0,,,0,0.0,1,0.0
1990-08-06,2.874,,0.0,0.0,,,8.0625,8.676,35.91,28.05,,,,,,2.874,0.0,0.0,0.0,,,7.169999999999998,,1357.2376100462905,0.0,,,0,0.0,1,0.0
1990-08-07,2.874,,0.0,0.0,,,8.0,8.714,32.75,28.31,,,,,,2.874,0.0,0.0,0.0,,,-3.1599999999999966,,92.26467155102918,0.0,,,0,0.0,1,0.0
1990-08-08,2.874,,0.0,0.0,,,8.0625,8.736,28.27,25.96,,,,,,2.874,0.0,0.0,0.0,,,-4.48,,-866.5820728791892,0.0,,,0,0.0,1,0.0
1990-08-09,2.874,,0.0,0.0,,,8.0625,8.648,24.39,25.67,,,,,,2.874,0.0,0.0,0.0,,,-3.879999999999999,,-112.33896952840134,0.0,,,0,0.0,1,0.0
1990-08-10,2.874,,0.0,0.0,,,8.0625,8.657,25.75,26.23,,,,,,2.874,0.0,0.0,0.0,,,1.3599999999999994,,215.807989957332,0.0,,,0,0.0,1,-3.4800765968060676
1990-08-13,2.873,,0.0,0.0,,,8.0,8.693,25.74,26.77,,,,,,2.873,-3.4800765968060676,0.0,0.0,,,-0.010000000000001563,,203.780636534789,0.0,,,0,0.0,1,0.0
1990-08-14,2.873,,0.0,0.0,,,8.0,8.655,24.18,26.42,,,,,,2.873,0.0,0.0,0.0,,,-1.5599999999999987,,-131.60558438081767,0.0,,,0,0.0,1,-3.481288111748182
